,Age,CreditScore,EB,EstimatedSalary,Gender,Geography,HasCrCard,IsActiveMember,NumOfProducts,Tenure,Exited
75,0.040540541,0.77,0.000752051,0.111892786,0,0,1,0,0.333333333,0.1,0
76,0.5,0.628,0,0.69581675,1,0,1,1,0.333333333,0.8,0
77,0.189189189,0.656,0,0.741066072,0,0,1,1,0,0.9,0
78,0.202702703,0.814,3.75E-05,0.971233003,1,0.5,0,1,0,0.5,0
79,0.310810811,0.132,0.000117103,0.491497088,0,1,1,0,0.333333333,1,0
80,0.216216216,0.63,5.31E-05,0.857092252,0,0,0,0,0.333333333,0.1,0
81,0.189189189,0.854,0,0.682298209,0,0,1,0,0,0.2,1
82,0.243243243,0.386,0,0.13005247,0,0,0,0,0.333333333,0.3,0
83,0.216216216,0.312,5.34E-05,0.796194587,0,0,1,1,0,0.4,0
84,0.378378378,0.286,0,0.009481305,0,0,1,0,0.333333333,0.4,0
85,0.77027027,0.604,0,0.573375607,0,0.5,1,1,0.333333333,1,0
86,0.054054054,0.8,8.91E-05,0.643220278,1,0.5,1,0,0,0.3,1
87,0.162162162,0.758,0,0.759361369,1,0,1,0,0.333333333,0.9,0
88,0.378378378,0.592,0,0.466243726,0,0,1,0,0.666666667,0.4,1
89,0.135135135,0.57,4.90E-05,0.783973769,0,1,1,1,0.333333333,0.3,0
90,0.351351351,0.594,0,0.871051385,0,0.5,1,1,0.666666667,0.5,1
91,0.364864865,0.916,7.60E-05,0.735674657,1,0,1,0,0.333333333,0.7,0
92,0.243243243,0.348,0,0.54806729,0,0,1,0,0.333333333,1,0
93,0.148648649,0.838,0,0.861477421,1,0,1,1,0.333333333,0.8,0
94,0.324324324,0.76,0,0.429895505,1,0.5,0,1,0.333333333,0.4,0
95,0.22972973,0.33,0.000136931,0.60638891,1,0.5,0,1,0,1,0
96,0.310810811,0.846,0.000149969,0.322949192,1,0.5,0,1,0,0.9,0
97,0.148648649,0.928,4.64E-05,0.986416953,1,1,1,1,0.333333333,0.8,0
98,0.054054054,0.72,0,0.49821488,1,0.5,0,0,0.333333333,0.8,0
99,0.216216216,0.126,0,0.032616115,1,0,0,0,0.333333333,0.9,0
100,0.297297297,0.63,0,0.809259534,0,0,1,1,0,0.6,0
101,0.351351351,0.546,0,0.835834072,0,0,0,0,0.333333333,0.6,0
102,0.175675676,0.776,0.000185574,0.209815737,1,0,1,0,0,0.9,0
103,0.243243243,0.356,0,0.302653803,1,0.5,1,0,0.333333333,0.7,0
104,0.635135135,0.64,0,0.888305333,0,0.5,1,1,0,0.1,1
105,0.378378378,0.544,0.000325559,0.154879841,0,0.5,1,1,0.333333333,0.4,1
106,0.189189189,0.464,0.000833341,0.050219546,1,1,1,1,0,0.1,0
107,0.243243243,0.87,0.000254289,0.184842352,0,1,0,1,0,0.2,0
108,0.202702703,0.51,0.000196766,0.359290362,1,0.5,0,0,0,0.5,0
109,0.22972973,0.258,8.79E-05,0.497238886,1,1,1,0,0,0.9,1
110,0.162162162,0.67,0.00013521,0.315386619,1,1,0,1,0,0.3,0
111,0.283783784,0.376,0.000373828,0.136111399,1,1,1,0,0.333333333,0.7,0
112,0.324324324,0.424,0.000108798,0.433970594,1,0,0,0,0,0.2,0
113,0.243243243,0.65,0.00043507,0.114924675,1,0.5,0,1,0,0.9,0
114,0.135135135,0.742,0.000143661,0.50649517,1,1,0,1,0.333333333,0.9,1
115,0.162162162,0.556,0.000168112,0.370823164,0,1,1,1,0.333333333,0.9,0
116,0.256756757,0.636,0.000136757,0.578188767,0,1,1,0,0,0.6,0
117,0.310810811,0.312,0,0.158788764,0,0,1,0,0.333333333,0.1,0
118,0.175675676,0.348,5.09E-05,0.998664422,0,1,1,0,0,0.8,1
119,0.216216216,0.698,0.000144372,0.604172198,1,1,1,0,0.333333333,0.4,0
120,0.216216216,0.956,0.000319781,0.190619154,1,0,0,0,0.333333333,0.8,0
121,0.283783784,0.648,0.000113085,0.500644662,1,0.5,0,0,0,0.6,0
122,0.283783784,0.612,0,0.705358862,0,0,1,0,0.333333333,0.6,0
123,0.405405405,0.668,6.01E-05,0.99068351,0,1,1,1,0,1,0
124,0.135135135,0.55,0,0.918261844,0,0,0,0,0,0.3,0
125,0.324324324,0.164,0.000130383,0.551320951,1,0,1,0,0,0.9,1
126,0.459459459,0.398,0,0.043126469,0,0,0,1,0,0.1,1
127,0.513513514,0.55,0.000298794,0.234084855,1,1,1,0,0,0,1
128,0.310810811,0.956,0,0.856917786,0,0,1,0,0.333333333,0.7,0
129,0.081081081,0.84,5.74E-05,0.836303717,1,0,1,0,0,0.9,0
130,0.216216216,0.816,0,0.621132218,0,0,1,1,0.333333333,0.3,0
131,0.202702703,0.89,0.000107264,0.574673031,0,1,1,1,0,0.9,0
132,0.27027027,0.674,0.000324282,0.178003499,1,0,1,1,0,0.9,0
133,0.094594595,0.672,0,0.082246805,1,0,0,1,0.333333333,0.1,0
134,0.283783784,0.878,9.45E-05,0.622056906,1,1,1,1,0.333333333,0.7,0
135,0.432432432,0.478,0.000390669,0.174664931,0,1,1,1,0.333333333,0.5,0
136,0.216216216,0.222,3.57E-05,0.838943619,0,1,0,1,0,0.5,0
137,0.297297297,0.574,0.000134959,0.465813285,1,0,0,1,0,0.2,0
138,0.405405405,0.468,0.000267164,0.375784237,0,0.5,1,0,0,0.2,1
139,0.22972973,0.458,0.001420026,0.042900347,0,0.5,0,1,0.333333333,0.1,1
140,0.351351351,0.812,6.83E-05,0.94775211,1,1,1,0,0,1,0
141,0.216216216,0.626,0,0.902164457,1,0,1,1,0.333333333,0.7,0
142,0.337837838,0.664,6.13E-05,0.966626063,0,0,1,1,0,0.5,0
143,0.459459459,0.886,0,0.795637183,1,0.5,1,0,0,0.2,1
144,0.175675676,0.682,3.05E-05,0.631071567,0,0,1,0,0,0.5,1
145,0.040540541,0.27,0.0001969,0.27067545,0,0.5,1,1,0,0.5,0
146,0.148648649,0.57,9.24E-05,0.705387014,0,0.5,1,0,0.333333333,0.8,0
147,0.256756757,0.6,0.000411402,0.122428942,1,0,0,0,0,0.5,0
148,0.351351351,0.77,0.000151923,0.374159532,1,0,1,0,0,0.9,0
149,0.189189189,0.132,0,0.004336864,1,0,0,1,0.333333333,0,0
150,0.189189189,0.808,0,0.447588595,0,0.5,1,0,0.333333333,0.7,0
151,0.405405405,0.37,0,0.749477625,0,0,1,0,0,0.9,1
152,0.324324324,0.732,0,0.904030535,1,0.5,1,0,0.333333333,0.8,0
153,0.256756757,0.378,0.00012187,0.493220303,1,0,1,0,0,0.2,0
154,0.337837838,0.528,0,0.545201817,0,0,1,1,0.333333333,0.6,0
155,0.527027027,0.712,0,0.089656462,1,0.5,1,0,0,0.7,1
156,0.202702703,0.816,0,0.414964079,0,0,0,0,0.333333333,0.7,0
157,0.135135135,0.472,0,0.460322811,0,0.5,1,1,0.333333333,0.2,0
158,0.743243243,0.592,8.75E-05,0.523590403,0,0,0,1,0,0.6,0
159,0.202702703,0.562,0.000103037,0.563433758,0,1,0,0,0,0.4,0
160,0.054054054,0.734,0.000112407,0.423480342,0,0.5,0,1,0,0.6,0
161,0.162162162,0.668,0,0.417351057,1,0,1,0,0.333333333,0.2,0
162,0.418918919,0.9,0.000215921,0.235590149,0,0,0,0,0,0.7,0
163,0.243243243,0.742,0,0.534882181,0,0.5,1,1,0.333333333,0.2,0
164,0.148648649,0.666,0.000226619,0.277881338,1,0.5,1,0,0,0,1
165,0.175675676,0.62,8.43E-05,0.699381041,1,1,1,1,0.333333333,0.9,0
166,0.081081081,0.708,6.55E-05,0.812537097,0,1,1,0,0,0.7,1
167,0.310810811,0.53,5.23E-05,0.982535732,0,0.5,1,0,0,0.9,0
168,0.283783784,0.634,0,0.203567741,0,0.5,1,0,0.333333333,0.2,1
169,0.081081081,0.664,0.000102712,0.265638969,1,1,0,0,0.333333333,0.9,0
170,0.148648649,0.268,7.47E-05,0.82010987,0,0,1,0,0,0.4,0
171,0.121621622,0.556,5.79E-05,0.78000139,1,1,1,0,0.333333333,0.5,0
172,0.351351351,0.26,0.002231137,0.027308208,1,1,1,0,0,1,1
173,0.162162162,0.456,0.000142306,0.560931219,1,0,1,0,0,0.4,0
174,0.297297297,0.324,0,0.732301185,1,0,1,1,0.333333333,0.5,0
175,0.22972973,0.268,0.0004622,0.136385625,0,0.5,1,1,0,0.7,0
176,0.162162162,0.32,0,0.65277179,0,0,1,1,0.333333333,0,0
177,0.243243243,0.512,0.000100054,0.896787193,1,1,0,0,0.333333333,0.5,0
178,0.297297297,0.494,0.000101385,0.473857953,0,0.5,0,1,0,0.8,0
179,0.5,0.808,0.001884092,0.040350203,0,1,1,0,0,0.3,1
180,0.364864865,1,0.000591447,0.097363898,0,0.5,1,1,0,0.2,0
181,0.635135135,0.32,0,0.240323101,1,0,1,1,0.333333333,0.2,0
182,0.364864865,0.856,8.75E-05,0.872681791,0,1,1,0,0.333333333,0.1,0
183,0.324324324,0.572,0,0.277322484,1,0,1,1,0.333333333,0.2,0
184,0.432432432,0.908,0,0.042680526,0,0,1,1,0,0.4,1
185,0.189189189,0.328,0,0.479273771,1,0,1,0,0.333333333,0.8,0
186,0.283783784,0.76,4.78E-05,0.97476419,0,0,1,0,0,0.1,0
187,0.256756757,0.35,0,0.657613502,0,0.5,0,1,0,0,0
188,0.162162162,0.532,0,0.980578295,1,0.5,0,1,0.333333333,0.5,0
189,0.216216216,0.674,7.06E-05,0.742836841,0,1,1,0,0.333333333,0.7,0
190,0.310810811,0.73,5.70E-05,0.464899548,0,0,0,0,0.333333333,0.8,1
191,0.243243243,0.324,0.000449466,0.088327335,0,0,1,0,0.333333333,0.3,0
192,0.297297297,0.258,0,0.574979161,1,0,0,0,0.333333333,0.1,0
193,0.189189189,0.502,0.00010077,0.434770721,1,0,1,0,0,0.8,0
194,0.148648649,0.46,4.54E-05,0.640392257,1,0.5,1,0,0.333333333,0.9,0
195,0.22972973,0.914,0.027428326,0.002944181,1,0,1,1,0,0.3,0
196,0.189189189,0.532,0,0.21496993,0,0.5,1,1,0.333333333,0.6,0
197,0.256756757,0.742,6.40E-05,0.792973429,1,1,1,1,0,0.3,0
198,0.527027027,0.302,0,0.239200894,1,0,1,1,0.333333333,1,0
199,0.22972973,0.342,0.000866099,0.052389303,1,0,1,0,0,0.6,0
200,0.162162162,1,0.002222624,0.029835949,1,0.5,1,1,0,0.2,0
201,0.324324324,0.818,8.18E-05,0.607045373,1,0,0,1,0,0.4,0
202,0.432432432,0.332,0,0.730741536,1,0.5,0,1,0,0.5,1
203,0.27027027,0.722,0.00084558,0.071823259,0,0,1,1,0.333333333,0.2,1
204,0.202702703,0.324,0.000175806,0.473341154,1,0.5,1,0,0,0.3,0
205,0.256756757,0.4,0,0.898379445,1,0,1,1,0,0.3,0
206,0.310810811,0.516,4.24E-05,0.996560972,0,0.5,0,0,0,0.3,1
207,0.216216216,0.536,8.37E-05,0.75978661,1,0,1,1,0,0.5,0
208,0.364864865,0.586,0,0.712577651,1,0,1,0,0,0.5,1
209,0.364864865,0.642,6.33E-05,0.791340773,1,0,0,1,0,0.2,0
210,0.202702703,0.678,9.00E-05,0.846932482,1,1,1,0,0.333333333,0.2,0
211,0.175675676,0.506,0,0.849598337,1,0,1,1,0.333333333,0.8,0
212,0.310810811,0.54,0,0.444246876,0,0,0,0,0.333333333,0.9,0
213,0.216216216,0.652,0.000146242,0.203190555,0,0,1,1,0,0.1,0
214,0.108108108,0.444,0.000184416,0.302107451,1,1,0,0,0.333333333,0.4,0
215,0.391891892,0.636,6.37E-05,0.789812627,1,1,0,1,0,0.7,1
216,0.378378378,0.69,3.51E-05,0.665042312,1,0,1,0,0,0.7,0
217,0.202702703,0.76,0,0.882909518,0,0.5,0,0,0.333333333,0.9,0
218,0.337837838,0.914,0.000285694,0.174398955,1,0,1,0,0.333333333,0.1,1
219,0.486486486,0.484,0,0.143644368,1,0,1,1,0,0.8,1
220,0.175675676,0.752,0.000110084,0.490881829,0,0,1,1,0.333333333,0.9,0
221,0.162162162,0.328,0,0.625052993,1,0.5,0,1,0,0.7,0
222,0.324324324,0.434,0,0.839945365,1,0,1,1,0.333333333,0.2,0
223,0.202702703,1,0,0.024253016,1,0,1,0,0,1,1
224,0.364864865,0.642,8.62E-05,0.544356336,1,1,1,1,0,0.6,1
225,0.256756757,0.64,8.10E-05,0.991301169,1,0,1,0,0.333333333,0.4,0
226,0.162162162,0.688,0,0.134756519,0,0,1,1,0.333333333,0.9,0
227,0.283783784,0.394,8.20E-05,0.428715642,0,1,1,1,0.666666667,0.6,1
228,0.432432432,0.802,0.000118226,0.386010214,1,1,1,0,0,0.2,1
229,0.148648649,0.488,0.000201896,0.305213898,0,1,1,0,0,0.3,0
230,0.72972973,0.646,0,0.559901521,1,0,0,1,0.333333333,0.1,0
231,0.297297297,0.52,0,0.311134813,1,0,1,0,0.333333333,0,0
232,0.256756757,0.324,0,0.780541792,0,0,0,1,0.333333333,0.1,0
233,0.027027027,0.834,7.51E-05,0.750690691,1,1,0,1,0.333333333,0.3,0
234,0.662162162,0.47,0.00011528,0.465717126,0,0,0,1,0.333333333,0.5,0
235,0.324324324,0.826,0.000281986,0.167272775,1,1,1,0,0,0.6,1
236,0.148648649,0.724,0,0.72188604,0,0,1,1,0,0.2,0
237,0.337837838,0.378,0.000196206,0.278988543,0,1,1,0,0.666666667,0.3,1
238,0.378378378,0.636,0,0.445226919,0,0,1,0,0.666666667,0.2,1
239,0.135135135,0.706,4.70E-05,0.814080645,1,0,0,1,0.333333333,0.2,0
240,0.27027027,0.624,0,0.681305415,1,0.5,1,0,0.333333333,0.4,0
241,0.283783784,0.75,8.87E-05,0.620266185,0,1,1,0,0,0.5,0
242,0.256756757,0.706,0.000134611,0.370771509,1,0,0,1,0.333333333,0.8,0
243,0.662162162,0.618,0.000245418,0.225319068,1,1,1,1,0,0.6,1
244,0.216216216,0.346,0,0.310122017,1,0.5,1,0,0.333333333,0.7,0
245,0.297297297,0.57,8.82E-05,0.659771258,0,0,1,0,0,1,1
246,0.108108108,0.844,0.000180794,0.397050018,1,1,1,0,0.333333333,0.7,0
247,0.108108108,0.39,0,0.998230231,0,0,1,1,0.333333333,0.1,0
248,0.081081081,0.568,6.16E-05,0.787903795,1,1,1,1,0,0.8,0
249,0.486486486,0.778,8.86E-05,0.672110037,1,1,1,0,0,0.8,1
250,0.243243243,0.842,7.35E-05,0.499019706,0,1,0,0,0,0.5,0
251,0.216216216,0.474,0,0.489652262,0,0.5,1,1,0.333333333,0.1,0
252,0.824324324,0.662,0,0.85486869,0,0,0,1,0.333333333,0,0
253,0.256756757,0.388,0.000130501,0.287764331,1,1,1,1,0,0.2,0
254,0.135135135,0.692,0,0.883593833,1,0.5,0,0,0,0.8,0
255,0.310810811,0.832,0,0.171374616,1,0.5,0,1,0.333333333,0,0
256,0.216216216,0.754,0,0.993223653,1,0,1,1,0.333333333,1,0
257,0.216216216,0.642,2.24E-05,0.78460263,0,1,0,0,0.333333333,0.6,0
258,0.162162162,0.686,0.000238976,0.25225219,0,0,1,1,0,0.6,0
259,0.27027027,1,3.69E-05,0.700386737,1,1,1,1,0,0.3,0
260,0.324324324,0.764,0.000156837,0.326588839,1,1,1,1,0.333333333,0.9,0
261,0.405405405,0.752,0.000146325,0.321589012,0,0.5,1,0,0,0.6,0
262,0.189189189,0.414,0.001163324,0.074731437,0,0,1,0,0.333333333,0.6,0
263,0.108108108,0.664,9.32E-05,0.559391572,0,0,0,1,0,0,0
264,0.175675676,0.776,0.000400103,0.09298213,1,0.5,1,1,0,0.9,0
265,0.243243243,0.362,7.59E-05,0.615685948,0,0.5,1,0,0,0.9,0
266,0.216216216,0.296,0,0.742654223,1,0,1,1,0.333333333,0.2,0
267,0.243243243,0.602,0,0.069440282,1,0,1,0,0.333333333,0.7,0
268,0.283783784,0.398,0,0.406277149,0,0.5,0,0,0,0.7,1
269,0.22972973,0.882,3.07E-05,0.805277754,0,1,1,0,0,0.7,0
270,0.310810811,0.6,0,0.958031942,1,0.5,0,1,0.333333333,0.9,0
271,0.216216216,0.766,0.000194665,0.242761234,1,1,1,0,0.666666667,0.3,1
272,0.216216216,0.922,7.55E-05,0.93172978,0,1,1,1,0.333333333,0.1,0
273,0.162162162,0.714,0,0.16575478,1,0,1,0,0.333333333,0.8,0
274,0.135135135,0.724,0.000146111,0.469404578,1,1,0,1,0,0.4,0
275,0.256756757,0.712,0,0.554491554,0,0.5,1,1,0.333333333,0.7,0
276,0.594594595,0.812,0,0.055942643,1,0,1,1,0,0.3,1
277,0.472972973,0.854,0,0.949997675,0,0,1,0,0.333333333,1,0
278,0.22972973,0.592,4.82E-05,0.821298984,1,0,0,1,0,0.6,0
279,0.378378378,0.728,0,0.760853712,1,0,1,0,0,0.1,1
280,0.283783784,0.864,0,0.169706657,1,0,1,1,0.333333333,0.8,0
281,0.148648649,0.85,0,0.340694286,1,0.5,1,1,0.333333333,1,0
282,0.22972973,0.258,0.000276574,0.236223609,1,1,1,1,0,0.4,1
283,0.324324324,0.914,0.000430453,0.129383056,1,0,1,1,0,0.7,0
284,0.054054054,0.898,8.52E-05,0.963203336,0,0,0,1,0.333333333,0.8,0
285,0.297297297,0.65,0.000308449,0.172845407,1,0,1,0,0.333333333,0.7,0
286,0.148648649,0.504,6.07E-05,0.806168289,1,0.5,1,0,0,0.5,0
287,0.189189189,0.25,0.000111223,0.504071689,0,0,1,0,0,0.8,0
288,0.108108108,0.788,8.62E-05,0.908501062,0,0.5,1,1,0,0.5,0
289,0.216216216,0.476,0,0.395374408,1,0.5,1,0,0.333333333,1,0
290,0.324324324,0.706,4.34E-05,0.686589269,1,1,0,1,0,0.9,0
291,0.310810811,0.794,4.57E-05,0.974669481,0,0.5,1,0,0.333333333,0.5,0
292,0.121621622,0.466,0,0.256394036,1,0,1,0,0.333333333,0.7,0
293,0.216216216,0.8,7.07E-05,0.752021568,0,0.5,0,0,0,0.9,1
294,0.27027027,0.662,0,0.562455615,1,0,1,1,0.333333333,0.3,0
295,0.094594595,0.846,0.000173826,0.368259169,1,0,1,0,0,0.2,0
296,0.175675676,0.728,0.000110582,0.533177468,0,0,1,1,0,0.4,0
297,0.351351351,0.674,0,0.779284122,0,0.5,1,0,0.666666667,0.7,1
298,0.540540541,0.322,8.64E-05,0.813017293,1,0,1,1,0,0,0
299,0.202702703,0.554,0,0.518680734,1,0,1,1,0.333333333,0.5,0
300,0.175675676,0.688,0,0.804970325,0,0,1,0,0.333333333,1,0
301,0.243243243,0.532,0.000806126,0.077263679,0,0.5,0,0,0,0.6,0
302,0.22972973,0.674,0,0.051617279,1,0,1,0,0.333333333,0.8,0
303,0.202702703,0.724,0,0.953463956,0,0,1,1,0.333333333,0.6,0
304,0.202702703,0.406,0.000117794,0.472189444,1,0,0,0,0,0.4,0
305,0.175675676,0.634,0.000397629,0.141243739,1,0,1,1,0,0.1,0
306,0.337837838,0.762,0,0.850198044,1,0,1,1,0,0.2,1
307,0.22972973,0.558,0.000464315,0.159078742,1,1,1,0,0.333333333,0.7,0
308,0.432432432,0.528,0.000101572,0.635835272,1,0,1,0,0,0.4,1
309,0.175675676,0.176,0.000164361,0.224648604,1,1,1,0,0,0.8,0
310,0.837837838,0.604,0,0.943047511,0,0,1,1,0.333333333,0.4,0
311,0.162162162,0.758,4.13E-05,0.725568242,1,1,1,0,0,0.6,0
312,0.27027027,0.584,0,0.857343126,1,0,0,0,0.333333333,0.3,0
313,0.554054054,0.912,6.97E-05,0.914141901,0,1,1,0,0,0,0
314,0.243243243,0.788,0.000166142,0.436050393,1,0.5,1,1,0,0.2,0
315,0.256756757,0.248,0,0.285845998,1,0.5,0,0,0.333333333,0.3,0
316,0.418918919,0.418,0.000114943,0.602703808,1,0,1,0,0,0.2,1
317,0.324324324,0.712,0,0.143527507,1,0.5,1,1,0.333333333,0.9,0
318,0.054054054,0.556,0,0.427114289,0,0.5,1,0,0,0.3,0
319,0.081081081,0.158,0.000195357,0.230817893,1,0,1,0,0,0.4,0
320,0.527027027,0.35,0.000213369,0.322214672,0,0.5,1,1,0,0.2,0
321,0.162162162,0.66,0.000818549,0.081344718,0,0,1,1,0,0.8,0
322,0.297297297,0.798,7.18E-05,0.914306516,1,0,1,0,0,0.1,1
323,0.175675676,0.826,0,0.251989765,0,0,0,0,0.333333333,0.4,0
324,0.162162162,0.768,0,0.538194748,1,0,1,0,0.333333333,0.3,0
325,0.22972973,0.732,0.000101441,0.670669399,1,0,1,0,0,0.4,0
326,0.22972973,0.488,0,0.517394961,1,0,1,0,0.333333333,0.2,0
327,0.378378378,0.588,8.27E-05,0.543799283,0,0,1,0,0,0.9,1
328,0.22972973,0.642,7.62E-05,0.895089081,1,1,1,1,0,0.1,0
329,0.108108108,0.628,0.000115101,0.475713231,1,1,1,1,0.333333333,0.7,0
330,0.432432432,0.612,0,0.360693746,1,0,0,1,0.333333333,0.7,0
331,0.297297297,0.634,0.000720239,0.095765696,0,0.5,1,0,0,0.1,0
332,0.351351351,0.626,7.62E-05,0.723412086,1,1,0,1,0.333333333,0.2,0
333,0.162162162,0.468,5.94E-05,0.888887139,0,1,1,0,0,0.8,1
334,0.256756757,0.552,0.001822097,0.027934468,0,0.5,1,0,0,0.6,0
335,0.148648649,0.27,0.000146863,0.584140435,1,0,1,0,0,0.7,1
336,0.189189189,0.618,8.14E-05,0.873288049,0,1,0,1,0.333333333,0.3,0
337,0.202702703,0.598,0,0.009997955,1,0,1,0,0.333333333,0.2,0
